dateTime,source,energy,distance
2022-03-25 20:08:54.102113,3,0,63
2022-03-25 20:08:54.197736,3,0,63
2022-03-25 20:08:54.277900,3,0,63
2022-03-25 20:08:54.373352,3,0,63
2022-03-25 20:08:54.453384,3,0,63
2022-03-25 20:08:54.548891,3,0,63
2022-03-25 20:08:54.628972,3,0,63
2022-03-25 20:08:54.724512,3,0,63
2022-03-25 20:08:54.804574,3,0,63
2022-03-25 20:08:54.900273,3,0,63
2022-03-25 20:08:54.980249,3,0,63
2022-03-25 20:08:55.060330,3,0,63
2022-03-25 20:08:55.155890,3,0,63
2022-03-25 20:08:55.235972,3,0,63
2022-03-25 20:08:55.331502,3,0,63
2022-03-25 20:08:55.411577,3,0,63
2022-03-25 20:08:55.507097,3,0,63
2022-03-25 20:08:55.587209,3,0,63
2022-03-25 20:08:55.682861,3,0,63
2022-03-25 20:08:55.762941,3,0,63
2022-03-25 20:08:55.858426,3,0,63
2022-03-25 20:08:55.938469,3,0,63
2022-03-25 20:08:56.034052,3,0,63
2022-03-25 20:08:56.114095,3,0,63
2022-03-25 20:08:56.209643,3,0,63
2022-03-25 20:08:56.289689,3,0,63
2022-03-25 20:08:56.385269,3,0,63
2022-03-25 20:08:56.465309,3,0,63
2022-03-25 20:08:56.560878,3,0,63
2022-03-25 20:08:56.640912,3,0,63
2022-03-25 20:08:56.736473,3,0,63
2022-03-25 20:08:56.816549,3,0,63
2022-03-25 20:08:56.912157,3,0,63
2022-03-25 20:08:56.992309,3,0,63
2022-03-25 20:08:57.087681,3,0,63
2022-03-25 20:08:57.167763,3,0,63
2022-03-25 20:08:57.247902,3,0,63
2022-03-25 20:08:57.343403,3,0,63
2022-03-25 20:08:57.423482,3,0,63
2022-03-25 20:08:57.518977,3,0,63
2022-03-25 20:08:57.599107,3,0,63
2022-03-25 20:08:57.694733,3,0,63
2022-03-25 20:08:57.774848,3,0,63
2022-03-25 20:08:57.870349,3,0,63
2022-03-25 20:08:57.950467,3,0,63
2022-03-25 20:08:58.045959,3,0,63
2022-03-25 20:08:58.125985,3,0,63
2022-03-25 20:08:58.221553,3,0,63
2022-03-25 20:08:58.301579,3,0,63
2022-03-25 20:08:58.397131,3,0,63
2022-03-25 20:08:58.477229,3,0,63
2022-03-25 20:08:58.572729,3,0,63
2022-03-25 20:08:58.652866,3,0,63
2022-03-25 20:08:58.748353,3,0,63
2022-03-25 20:08:58.828436,3,0,63
2022-03-25 20:08:58.924062,3,0,63
2022-03-25 20:08:59.004016,3,0,63
2022-03-25 20:08:59.084071,3,0,63
2022-03-25 20:08:59.179832,3,0,63
2022-03-25 20:08:59.259859,3,0,63
2022-03-25 20:08:59.355347,3,0,63
2022-03-25 20:08:59.435394,3,0,63
2022-03-25 20:08:59.530935,3,0,63
2022-03-25 20:08:59.611035,3,0,63
2022-03-25 20:08:59.706605,3,0,63
2022-03-25 20:08:59.786679,3,0,63
2022-03-25 20:08:59.882198,3,0,63
2022-03-25 20:08:59.962270,3,0,63
2022-03-25 20:09:00.057881,3,0,63
2022-03-25 20:09:00.137952,3,0,63
2022-03-25 20:09:00.233457,3,0,63
2022-03-25 20:09:00.313608,3,0,63
2022-03-25 20:09:00.409154,3,0,63
2022-03-25 20:09:00.489135,3,0,63
2022-03-25 20:09:00.584726,3,0,63
2022-03-25 20:09:00.664778,3,0,63
2022-03-25 20:09:00.760307,3,0,63
2022-03-25 20:09:00.840402,3,0,63
2022-03-25 20:09:00.936044,3,0,63
2022-03-25 20:09:01.016778,3,0,63
2022-03-25 20:09:01.111690,3,0,63
2022-03-25 20:09:01.191632,3,0,63
2022-03-25 20:09:01.271759,3,0,63
2022-03-25 20:09:01.367277,3,0,63
2022-03-25 20:09:01.447365,3,0,63
2022-03-25 20:09:01.542821,3,0,63
2022-03-25 20:09:01.623378,3,0,63
2022-03-25 20:09:01.718555,3,0,63
2022-03-25 20:09:01.798552,3,0,63
2022-03-25 20:09:01.894097,3,0,63
2022-03-25 20:09:01.990283,3,0,63
2022-03-25 20:09:02.069800,3,0,63
2022-03-25 20:09:02.149892,3,0,63
2022-03-25 20:09:02.245387,3,0,63
2022-03-25 20:09:02.325455,3,0,63
2022-03-25 20:09:02.421042,3,0,63
2022-03-25 20:09:02.501125,3,0,63
2022-03-25 20:09:02.596688,3,0,63
2022-03-25 20:09:02.676757,3,0,63
2022-03-25 20:09:02.772280,3,0,63
2022-03-25 20:09:02.852357,3,0,63
2022-03-25 20:09:02.948008,3,0,63
2022-03-25 20:09:03.028043,3,0,63
2022-03-25 20:09:03.108286,3,0,63
2022-03-25 20:09:03.203733,3,0,63
2022-03-25 20:09:03.283787,3,0,63
2022-03-25 20:09:03.379338,3,0,63
2022-03-25 20:09:03.459384,3,0,63
2022-03-25 20:09:03.554954,3,0,63
2022-03-25 20:09:03.635111,3,0,63
2022-03-25 20:09:03.730625,3,0,63
2022-03-25 20:09:03.810570,3,0,63
2022-03-25 20:09:03.906039,3,0,63
2022-03-25 20:09:03.986189,3,0,63
